ID	ID	integer
Modified	Modificado	string
Editor	Modificado por	object
Author	Creado por	object
OData__ColorTag	Etiqueta de color	string
ComplianceAssetId	Id. de activo de cumplimiento normativo	string
Created	Creado	string
node : Total columns: 121
En C:\Users\nay\AppData\Local\Temp\ps-script-afccd873-eda0-4f81-8b91-615afd9c6de4.ps1: 91 
Carácter: 1
+ node scripts/audit-sp-fields.mjs 2>&1 | Out-File -Encoding utf8 scrip ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Total columns: 121:String) [], RemoteExcepti 
   on
    + FullyQualifiedErrorId : NativeCommandError
 
